departingAirportTicker,arrivingAirportTicker,pointType,numberOfPointsReq,cashReq,class,airlineName,isCashRoute,roundTripReq
MIA,LIM,Alaska,15000,1.11,Coach,AA,FALSE,FALSE
MIA,SJO,Avios,7500,1.11,Coach,AA,FALSE,FALSE
MIA,SJO,AA,12500,1.11,Coach,AA,FALSE,FALSE
MIA,SJO,FlyingBlue,15000,1.11,Coach,Delta,FALSE,FALSE
MIA,SJO,Delta,22500,1.11,Coach,Delta,FALSE,FALSE
MIA,SJO,United,17500,1.11,Coach,United,FALSE,FALSE
MIA,SJO,Alaska,17500,1.11,Coach,AA,FALSE,FALSE
MIA,EZE,Alaska,20000,1.11,Coach,AA,FALSE,FALSE
MIA,EZE,Avios,25000,1.11,Coach,AA,FALSE,FALSE
MIA,EZE,FlyingBlue,25000,1.11,Coach,Delta,FALSE,FALSE
MIA,EZE,AA,30000,1.11,Coach,AA,FALSE,FALSE
MIA,EZE,United,30000,1.11,Coach,United,FALSE,FALSE
MIA,EZE,Delta,37500,1.11,Coach,Delta,FALSE,FALSE
IAH,BZE,AA,12500,1.11,Coach,AA,FALSE,FALSE
IAH,BZE,FlyingBlue,15000,1.11,Coach,Delta,FALSE,FALSE
IAH,BZE,Alaska,15000,1.11,Coach,AA,FALSE,FALSE
IAH,BZE,Avios,17500,1.11,Coach,AA,FALSE,FALSE
IAH,BZE,United,17500,1.11,Coach,United,FALSE,FALSE
IAH,BZE,Delta,22500,1.11,Coach,Delta,FALSE,FALSE
LAX,BOG,Alaska,15000,1.11,Coach,AA,FALSE,FALSE
LAX,BOG,AA,17500,1.11,Coach,AA,FALSE,FALSE
LAX,BOG,FlyingBlue,17500,1.11,Coach,Delta,FALSE,FALSE
LAX,BOG,United,20000,1.11,Coach,United,FALSE,FALSE
LAX,BOG,Avios,18500,1.11,Coach,AA,FALSE,FALSE
LAX,BOG,Delta,27500,1.11,Coach,Delta,FALSE,FALSE
MIA,SCL,Avios,25000,1.11,Coach,AA,FALSE,FALSE
MIA,SCL,FlyingBlue,25000,1.11,Coach,Delta,FALSE,FALSE
